# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.627059197318315744e+09,0.000000000000000000e+00,1.106259077867846746e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.627059197319321156e+09,2.130428897950264739e-06,4.020569026756620756e-02,0.000000000000000000e+00,6.700948377927701477e-04
3.333333333333333287e-02,1.627059197320317268e+09,8.528138547446520931e-06,1.106259077867846746e-01,2.311564509245769924e-06,2.513898493647669270e-03
5.000000000000000278e-02,1.627059197336273909e+09,1.918061565972090630e-05,1.106259077867846746e-01,8.929607629250116608e-06,4.357812450221234396e-03
6.666666666666666574e-02,1.627059197353247404e+09,3.404766986135147460e-05,1.106259077867846746e-01,1.938664364426850897e-05,6.201900690728383118e-03
8.333333333333332871e-02,1.627059197370200872e+09,5.306457027064012319e-05,1.106259077867846746e-01,3.323248673174234320e-05,8.046219695286989729e-03
1.000000000000000056e-01,1.627059197387156010e+09,7.614612782775140754e-05,1.106259077867846746e-01,5.004337723108583433e-05,9.890818881353919539e-03
1.166666666666666685e-01,1.627059197404092789e+09,1.031916607310907257e-04,1.106259077867846746e-01,6.943097944776826938e-05,1.173574119412446048e-02
1.333333333333333315e-01,1.627059197421013355e+09,1.340907605423879772e-04,1.106259077867846746e-01,9.105112299344314097e-05,1.358102384262076245e-02
1.499999999999999944e-01,1.627059197437002897e+09,1.687297578387661912e-04,1.106259077867846746e-01,1.146121613922294484e-04,1.542669917509037827e-02
1.666666666666666574e-01,1.627059197453960180e+09,2.069987690355363011e-04,1.106259077867846746e-01,1.398828250078447280e-04,1.727279568528692147e-02
1.833333333333333204e-01,1.627059197471774578e+09,2.487991904833782172e-04,1.106259077867846746e-01,1.666994502358407407e-04,1.911933913923726316e-02
2.000000000000000111e-01,1.627059197489748001e+09,2.940514924390413474e-04,1.106259077867846746e-01,1.949724733110246673e-04,2.096635381023885872e-02
2.166666666666666741e-01,1.627059197508272886e+09,3.427031542728839930e-04,1.106259077867846746e-01,2.246920849356601451e-04,2.281386380810086420e-02
2.333333333333333370e-01,1.627059197525343657e+09,3.947365735306267143e-04,1.106259077867846746e-01,2.559329511554289433e-04,2.466189448706653312e-02
2.500000000000000000e-01,1.627059197541718245e+09,4.501767753963760617e-04,1.074520750717015416e-01,2.888579163972171187e-04,2.645757670353484498e-02
2.666666666666666630e-01,1.627059197560102224e+09,5.090987458564648436e-04,1.074520750717015416e-01,3.237206162201502081e-04,2.825383996500020756e-02
2.833333333333333259e-01,1.627059197576159716e+09,5.716342115451588952e-04,1.074520750717015416e-01,3.608669399894174094e-04,3.005072233186172406e-02
2.999999999999999889e-01,1.627059197593757868e+09,6.379776919269702223e-04,1.074520750717015416e-01,4.007352972191903853e-04,3.184826917134373631e-02
3.166666666666666519e-01,1.627059197610860825e+09,7.083916551550218689e-04,1.074520750717015416e-01,4.438556555930660524e-04,3.364653468346531090e-02
3.333333333333333148e-01,1.627059197627911806e+09,7.832106176143152718e-04,1.074520750717015416e-01,4.908473334952810716e-04,3.544558339021858934e-02
3.499999999999999778e-01,1.627059197644816399e+09,8.628440387412762268e-04,1.074520750717015416e-01,5.424155451030695380e-04,3.724549156716533416e-02
3.666666666666666408e-01,1.627059197662207603e+09,9.477778770902709794e-04,1.074520750717015416e-01,5.993467115238379538e-04,3.904634859688575765e-02
3.833333333333333037e-01,1.627059197679183722e+09,1.038574690633870413e-03,1.074520750717015416e-01,6.625025669302883396e-04,4.084825822419628494e-02
4.000000000000000222e-01,1.627059197696347713e+09,1.135872183734691968e-03,1.074520750717015416e-01,7.328131039704071726e-04,4.265133969379081985e-02
4.166666666666666852e-01,1.627059197712349892e+09,1.240380124871115746e-03,1.074520750717015416e-01,8.112684177257091381e-04,4.445572875194794132e-02
4.333333333333333481e-01,1.627059197729749203e+09,1.352875582759167222e-03,1.074520750717015416e-01,8.989095219807449050e-04,4.626157849517598120e-02
4.500000000000000111e-01,1.627059197747109890e+09,1.474196453676992775e-03,1.074520750717015416e-01,9.968182253746087421e-04,4.806906005012725330e-02
4.666666666666666741e-01,1.627059197765400648e+09,1.605233279226337762e-03,1.074520750717015416e-01,1.106106167961873939e-03,4.987836307078830772e-02
4.833333333333333370e-01,1.627059197781038284e+09,1.746919381091921247e-03,1.074520750717015416e-01,1.227903130655348543e-03,5.168969604082759156e-02
5.000000000000000000e-01,1.627059197798683643e+09,1.900219367199473168e-03,1.074520750717015416e-01,1.363344740805535029e-03,5.350328637103604623e-02
5.166666666666666075e-01,1.627059197815528393e+09,2.066116091626106661e-03,1.074520750717015416e-01,1.513559706652565281e-03,5.531938028400861657e-02
5.333333333333333259e-01,1.627059197832468033e+09,2.245596178273289237e-03,1.074520750717015416e-01,1.679656721440301237e-03,5.713824248056097871e-02
5.500000000000000444e-01,1.627059197849348783e+09,2.439634245259130266e-03,1.074520750717015416e-01,1.862711184498509970e-03,5.896015558483098246e-02
5.666666666666666519e-01,1.627059197865957260e+09,2.649175992811532345e-03,1.074520750717015416e-01,2.063751891483204919e-03,6.078541936755072622e-02
5.833333333333333703e-01,1.627059197883718014e+09,2.875120341742633430e-03,1.074520750717015416e-01,2.283747849140700063e-03,6.261434974956475719e-02
5.999999999999999778e-01,1.627059197899505615e+09,3.118300831966967605e-03,1.074520750717015416e-01,2.523595371369204924e-03,6.444727759028259784e-02
6.166666666666666963e-01,1.627059197916439056e+09,3.379466510619310530e-03,1.074520750717015416e-01,2.784105612953753986e-03,6.628454726836018052e-02
6.333333333333333037e-01,1.627059197933394909e+09,3.659262556784995644e-03,1.074520750717015416e-01,3.065992695127233141e-03,6.812651506447399419e-02
6.500000000000000222e-01,1.627059197950348616e+09,3.958210904358296783e-03,1.074520750717015416e-01,3.369862573062867069e-03,6.997354735855340624e-02
6.666666666666666297e-01,1.627059197967303514e+09,4.276691135808951758e-03,1.185698034520375754e-01,3.696202789554030223e-03,7.201131412924660635e-02
6.833333333333333481e-01,1.627059197984257221e+09,4.614921927418852779e-03,1.185698034520375754e-01,4.045373251527383668e-03,7.405490040763935966e-02
6.999999999999999556e-01,1.627059198001212597e+09,4.972943330648082333e-03,1.185698034520375754e-01,4.417598156728045483e-03,7.610469043445211579e-02
7.166666666666666741e-01,1.627059198018167019e+09,5.350600174546557390e-03,1.185698034520375754e-01,4.812959186992210245e-03,7.816106981176927648e-02
7.333333333333332815e-01,1.627059198035123825e+09,5.747526870438219963e-03,1.185698034520375754e-01,5.231390072085339259e-03,8.022442303717132461e-02
7.500000000000000000e-01,1.627059198052076817e+09,6.163133892414730981e-03,1.185698034520375754e-01,5.672672614251282781e-03,8.229513097160946755e-02
7.666666666666666075e-01,1.627059198069031239e+09,6.596596195483001891e-03,1.185698034520375754e-01,6.136434248526536663e-03,8.437356826661887577e-02
7.833333333333333259e-01,1.627059198086984396e+09,7.046843817569341771e-03,1.185698034520375754e-01,6.622147197675516683e-03,8.646010077744742395e-02
8.000000000000000444e-01,1.627059198103939533e+09,7.512554892099411984e-03,1.185698034520375754e-01,7.129129263464420961e-03,8.855508298937245226e-02
8.166666666666666519e-01,1.627059198120894194e+09,7.992151274709194050e-03,1.185698034520375754e-01,7.656546278091031291e-03,9.065885548487459533e-02
8.333333333333333703e-01,1.627059198137846947e+09,8.483796961012261134e-03,1.185698034520375754e-01,8.203416221115819931e-03,9.277174247942715501e-02
8.499999999999999778e-01,1.627059198154803753e+09,8.985399442518160820e-03,1.185698034520375754e-01,8.768614988394166088e-03,9.489404945343435371e-02
8.666666666666666963e-01,1.627059198171757936e+09,9.494614115079690747e-03,1.185698034520375754e-01,9.350883780495694922e-03,9.702606090730990507e-02
8.833333333333333037e-01,1.627059198188715696e+09,1.000885181900184988e-02,1.185698034520375754e-01,9.948838059124795116e-03,9.916803826582927528e-02
9.000000000000000222e-01,1.627059198205667496e+09,1.052528955257382888e-02,1.185698034520375754e-01,1.056097800133805158e-02,1.013202179567188749e-01
9.166666666666666297e-01,1.627059198222586393e+09,1.104088436172307071e-02,1.185698034520375754e-01,1.118570036310284621e-02,1.034828096869712111e-01
9.333333333333333481e-01,1.627059198239541292e+09,1.155239036820826688e-02,1.185698034520375754e-01,1.182131164616616152e-02,1.056559949386079444e-01
9.499999999999999556e-01,1.627059198256495714e+09,1.205637885775927634e-02,1.185698034520375754e-01,1.246604244551067012e-02,1.078399257035670827e-01
9.666666666666666741e-01,1.627059198273450851e+09,1.254926130835419019e-02,1.185698034520375754e-01,1.311806283906411484e-02,1.100347234750854442e-01
9.833333333333332815e-01,1.627059198290405035e+09,1.302731519792449388e-02,1.185698034520375754e-01,1.377549866699005580e-02,1.122404785104025721e-01
1.000000000000000000e+00,1.627059198308371544e+09,1.348671239073732583e-02,1.185698034520375754e-01,1.443644853499990652e-02,1.144572493768531984e-01
1.016666666666666607e+00,1.627059198325312853e+09,1.392354986305561516e-02,1.185698034520375754e-01,1.509900136485632823e-02,1.166850627904680998e-01
1.033333333333333215e+00,1.627059198342267513e+09,1.433388249195391081e-02,1.185698034520375754e-01,1.576125430573501948e-02,1.189239137530976459e-01
1.050000000000000044e+00,1.627059198358231068e+09,1.471375759688822900e-02,1.185698034520375754e-01,1.642133081251135121e-02,1.211737659908401210e-01
1.066666666666666652e+00,1.627059198375179052e+09,1.505925089227968562e-02,1.185698034520375754e-01,1.707739869145384962e-02,1.234345526932316417e-01
1.083333333333333259e+00,1.627059198392169476e+09,1.536650348144502631e-02,1.917478049662789119e-01,1.772768791033517422e-02,1.269258109078418850e-01
1.100000000000000089e+00,1.627059198409121275e+09,1.563175949812956739e-02,1.917478049662789119e-01,1.837050796868492861e-02,1.304277827900912901e-01
1.116666666666666696e+00,1.627059198426075697e+09,1.585140398206825660e-02,1.917478049662789119e-01,1.900426462485972634e-02,1.339403172832769329e-01
1.133333333333333304e+00,1.627059198443032503e+09,1.602200055976927759e-02,1.917478049662789119e-01,1.962747577982258337e-02,1.374632386290453034e-01
1.149999999999999911e+00,1.627059198459986210e+09,1.614032849138501147e-02,1.917478049662789119e-01,2.023878632300942643e-02,1.409963484838667735e-01
1.166666666666666741e+00,1.627059198476941109e+09,1.620341863935230442e-02,1.917478049662789119e-01,2.083698175339459419e-02,1.445394282625279969e-01
1.183333333333333348e+00,1.627059198493894815e+09,1.620858791463498580e-02,1.917478049662789119e-01,2.142100039880667425e-02,1.480922416852794299e-01
1.199999999999999956e+00,1.627059198510857582e+09,1.615347176200852483e-02,1.917478049662789119e-01,2.198994406861935411e-02,1.516545375025277476e-01
1.216666666666666563e+00,1.627059198527805090e+09,1.603605425694892145e-02,1.917478049662789119e-01,2.254308698905845704e-02,1.552260523684500237e-01
1.233333333333333393e+00,1.627059198544765234e+09,1.585469540331245833e-02,1.917478049662789119e-01,2.307988288640709998e-02,1.588065138326614500e-01
1.250000000000000000e+00,1.627059198561716080e+09,1.560815524304350228e-02,1.917478049662789119e-01,2.359997010121979086e-02,1.623956434171197616e-01
1.266666666666666607e+00,1.627059198579669714e+09,1.529561441647196360e-02,1.917478049662789119e-01,2.410317463611070035e-02,1.659931597438262518e-01
1.283333333333333215e+00,1.627059198596626282e+09,1.491669084414696221e-02,1.917478049662789119e-01,2.458951106058180833e-02,1.695987816776072521e-01
1.300000000000000044e+00,1.627059198613573790e+09,1.447145223831025271e-02,1.917478049662789119e-01,2.505918121850606375e-02,1.732122314473536762e-01
1.316666666666666652e+00,1.627059198630530357e+09,1.396042419369662203e-02,1.917478049662789119e-01,2.551257070706038077e-02,1.768332377085760077e-01
1.333333333333333259e+00,1.627059198647485256e+09,1.338459365294368715e-02,1.917478049662789119e-01,2.595024311988822566e-02,1.804615385100121205e-01
1.350000000000000089e+00,1.627059198664438963e+09,1.274540759103478908e-02,1.917478049662789119e-01,2.637293207181427152e-02,1.840968841273136758e-01
1.366666666666666696e+00,1.627059198681396246e+09,1.204476681536096466e-02,1.917478049662789119e-01,2.678153104728641168e-02,1.877390397275397749e-01
1.383333333333333304e+00,1.627059198698350191e+09,1.128501483260340929e-02,1.917478049662789119e-01,2.717708113962060898e-02,1.913877878293047674e-01
1.399999999999999911e+00,1.627059198716300964e+09,1.046892179009455831e-02,1.917478049662789119e-01,2.756075677280674791e-02,1.950429305249561929e-01
1.416666666666666741e+00,1.627059198733255386e+09,9.599663556967726746e-03,1.917478049662789119e-01,2.793384952183389572e-02,1.987042914330914012e-01
1.433333333333333348e+00,1.627059198750209808e+09,8.680796068578642069e-03,1.917478049662789119e-01,2.829775017094064704e-02,2.023717173520450663e-01
1.449999999999999956e+00,1.627059198767166853e+09,7.716225115685205506e-03,1.917478049662789119e-01,2.865392917163002776e-02,2.060450795876768715e-01
1.466666666666666563e+00,1.627059198784119606e+09,6.710171816998614612e-03,1.917478049662789119e-01,2.900391568344810878e-02,2.097242749318389832e-01
1.483333333333333393e+00,1.627059198801077366e+09,5.667134069262677945e-03,1.917478049662789119e-01,2.934927540016443043e-02,2.134092262712797006e-01
1.500000000000000000e+00,1.627059198818029642e+09,4.591844322276034292e-03,2.327077229321202478e-01,2.969158738187009997e-02,2.177825481098462079e-01
1.516666666666666607e+00,1.627059198835981846e+09,3.489224076556711896e-03,2.327077229321202478e-01,3.003242012940419980e-02,2.221615504942049402e-01
1.533333333333333215e+00,1.627059198852935791e+09,2.364335547994272750e-03,2.327077229321202478e-01,3.037330715122270666e-02,2.265462343289273150e-01
1.550000000000000044e+00,1.627059198869856596e+09,1.222330986207416717e-03,2.327077229321202478e-01,3.071572228414851113e-02,2.309366250825317934e-01
1.566666666666666652e+00,1.627059198887811422e+09,6.840017083095121435e-05,2.327077229321202478e-01,3.106105503821895292e-02,2.353327713820374534e-01
1.583333333333333259e+00,1.627059198903800011e+09,-1.092283357953809705e-03,2.327077229321202478e-01,3.141058624193532323e-02,2.397347432016050384e-01
1.600000000000000089e+00,1.627059198920763493e+09,-2.254616752144324773e-03,2.327077229321202478e-01,3.176546426749721902e-02,2.441426296549319974e-01
1.616666666666666696e+00,1.627059198937675714e+09,-3.413622389551229652e-03,2.327077229321202478e-01,3.212668211598433687e-02,2.485565364057337467e-01
1.633333333333333304e+00,1.627059198954629660e+09,-4.564501872843978840e-03,2.327077229321202478e-01,3.249505563986006956e-02,2.529765827152667401e-01
1.649999999999999911e+00,1.627059198971584797e+09,-5.702688872348824281e-03,2.327077229321202478e-01,3.287120317458867153e-02,2.574028981503785340e-01
1.666666666666666741e+00,1.627059198988539696e+09,-6.823900191974889909e-03,2.327077229321202478e-01,3.325552684256870978e-02,2.618356189799566636e-01
1.683333333333333348e+00,1.627059199006491661e+09,-7.924184446003330537e-03,2.327077229321202478e-01,3.364819578102073994e-02,2.662748842918423731e-01
1.699999999999999956e+00,1.627059199022448301e+09,-8.999967750201115849e-03,2.327077229321202478e-01,3.404913153098504397e-02,2.707208318662274737e-01
1.716666666666666563e+00,1.627059199039404392e+09,-1.004809585376753751e-02,2.327077229321202478e-01,3.445799580727000599e-02,2.751735938452173347e-01
1.733333333333333393e+00,1.627059199056357145e+09,-1.106587216885704904e-02,2.327077229321202478e-01,3.487418084916608235e-02,2.796332922415721289e-01
1.750000000000000000e+00,1.627059199073312044e+09,-1.205109119162143735e-02,2.327077229321202478e-01,3.529680252915232824e-02,2.841000343325933430e-01
1.766666666666666607e+00,1.627059199090266705e+09,-1.300206685257163444e-02,2.327077229321202478e-01,3.572469637184922525e-02,2.885739079876595281e-01
1.783333333333333215e+00,1.627059199107221603e+09,-1.391765538417548409e-02,2.327077229321202478e-01,3.615641660831854509e-02,2.930549769800001592e-01
1.800000000000000044e+00,1.627059199124208927e+09,-1.479727234951402383e-02,2.327077229321202478e-01,3.659023836171251820e-02,2.975432763348973553e-01
1.816666666666666652e+00,1.627059199141164780e+09,-1.564090353695099522e-02,2.327077229321202478e-01,3.702416302948213778e-02,3.020388077675907335e-01
1.833333333333333259e+00,1.627059199158125639e+09,-1.644910949151490165e-02,2.327077229321202478e-01,3.745592689515143958e-02,3.065415352647119507e-01
1.849999999999999867e+00,1.627059199175074816e+09,-1.722302352334450712e-02,2.327077229321202478e-01,3.788301296934438317e-02,3.110513808630697152e-01
1.866666666666666696e+00,1.627059199192995787e+09,-1.796434310636904272e-02,2.327077229321202478e-01,3.830266602563138501e-02,3.155682206790322297e-01
1.883333333333333304e+00,1.627059199209949255e+09,-1.867531465557084949e-02,2.327077229321202478e-01,3.871191076217195270e-02,3.200918812406037817e-01
1.899999999999999911e+00,1.627059199225904465e+09,-1.935871174787412788e-02,2.327077229321202478e-01,3.910757298541019111e-02,3.246221361725626364e-01
1.916666666666666741e+00,1.627059199243855953e+09,-2.001780692903451855e-02,3.341895084392867976e-01,3.948630367757655080e-02,3.308500663745103654e-01
1.933333333333333348e+00,1.627059199260812521e+09,-2.065633732597651692e-02,3.341895084392867976e-01,3.984460577582189106e-02,3.370839682780955027e-01
1.949999999999999956e+00,1.627059199277765274e+09,-2.127846435991811655e-02,3.341895084392867976e-01,4.017886345780751628e-02,3.433234411430470812e-01
1.966666666666666563e+00,1.627059199294720411e+09,-2.188872792942610224e-02,3.341895084392867976e-01,4.048537369685400317e-02,3.495680225119827678e-01
1.983333333333333393e+00,1.627059199311675310e+09,-2.249199550334424202e-02,3.341895084392867976e-01,4.076037981965943691e-02,3.558171873162985221e-01
2.000000000000000000e+00,1.627059199329626799e+09,-2.309340663045224284e-02,3.341895084392867976e-01,4.100010677147349764e-02,3.620703475698112128e-01
2.016666666666666607e+00,1.627059199345584154e+09,-2.369831343487666456e-02,3.341895084392867976e-01,4.120079776777781089e-02,3.683268526732622616e-01
2.033333333333333215e+00,1.627059199362538576e+09,-2.431221772287903843e-02,3.341895084392867976e-01,4.135875198829571525e-02,3.745859903470553087e-01
2.049999999999999822e+00,1.627059199379533291e+09,-2.494070537691560688e-02,3.341895084392867976e-01,4.147036294881607799e-02,3.808469882035236953e-01
2.066666666666666430e+00,1.627059199396481991e+09,-2.558937875609816615e-02,3.341895084392867976e-01,4.153215716913840477e-02,3.871090159636640937e-01
2.083333333333333481e+00,1.627059199413437605e+09,-2.626378785775120711e-02,3.341895084392867976e-01,4.154083274167608142e-02,3.933711883166801648e-01
2.100000000000000089e+00,1.627059199429791212e+09,-2.696936102209654407e-02,3.341895084392867976e-01,4.149329739509787646e-02,3.996325684139199197e-01
2.116666666666666696e+00,1.627059199446829081e+09,-2.771133598074179347e-02,3.341895084392867976e-01,4.138670564103395094e-02,4.058921719819252871e-01
2.133333333333333304e+00,1.627059199463784695e+09,-2.849469205922095308e-02,3.341895084392867976e-01,4.121849458946867661e-02,4.121489720324045258e-01
2.149999999999999911e+00,1.627059199480738640e+09,-2.932408434406602246e-02,3.341895084392867976e-01,4.098641802010401930e-02,4.184019041400610650e-01
2.166666666666666519e+00,1.627059199497694492e+09,-3.020378061560416438e-02,3.341895084392867976e-01,4.068857830277785442e-02,4.246498722524287839e-01
