# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.627063673877711535e+09,0.000000000000000000e+00,4.824136064138803692e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.627063673878707886e+09,2.130428897950264739e-06,1.753275740590404252e-02,0.000000000000000000e+00,2.922126234317339987e-04
3.333333333333333287e-02,1.627063673880738974e+09,8.528138547446520931e-06,4.824136064138803692e-02,2.311564509245769924e-06,1.096273826863355168e-03
5.000000000000000278e-02,1.627063673896660328e+09,1.918061565972090630e-05,4.824136064138803692e-02,8.929607629250116608e-06,1.900445331013643317e-03
6.666666666666666574e-02,1.627063673913857460e+09,3.404766986135147460e-05,4.824136064138803692e-02,1.938664364426850897e-05,2.704791119097515063e-03
8.333333333333332871e-02,1.627063673930848360e+09,5.306457027064012319e-05,4.824136064138803692e-02,3.323248673174234320e-05,3.509367671232844696e-03
1.000000000000000056e-01,1.627063673946768761e+09,7.614612782775140754e-05,4.824136064138803692e-02,5.004337723108583433e-05,4.314224404876497096e-03
1.166666666666666685e-01,1.627063673963324308e+09,1.031916607310907257e-04,4.824136064138803692e-02,6.943097944776826938e-05,5.119404265223760631e-03
1.333333333333333315e-01,1.627063673981309175e+09,1.340907605423879772e-04,4.824136064138803692e-02,9.105112299344314097e-05,5.924944461296785189e-03
1.499999999999999944e-01,1.627063673997231007e+09,1.687297578387661912e-04,4.824136064138803692e-02,1.146121613922294484e-04,6.730877341343122731e-03
1.666666666666666574e-01,1.627063674015182018e+09,2.069987690355363011e-04,4.824136064138803692e-02,1.398828250078447280e-04,7.537231399116387648e-03
1.833333333333333204e-01,1.627063674032135725e+09,2.487991904833782172e-04,4.824136064138803692e-02,1.666994502358407407e-04,8.344032400643451933e-03
2.000000000000000111e-01,1.627063674049090624e+09,2.940514924390413474e-04,4.824136064138803692e-02,1.949724733110246673e-04,9.151304619221770076e-03
2.166666666666666741e-01,1.627063674065284491e+09,3.427031542728839930e-04,4.824136064138803692e-02,2.246920849356601451e-04,9.959072164660498147e-03
2.333333333333333370e-01,1.627063674084239483e+09,3.947365735306267143e-04,4.824136064138803692e-02,2.559329511554289433e-04,1.076736039120288965e-02
2.500000000000000000e-01,1.627063674100199699e+09,4.501767753963760617e-04,6.842806176498493487e-02,2.888579163972171187e-04,1.191264238589259152e-02
2.666666666666666630e-01,1.627063674117156029e+09,5.090987458564648436e-04,6.842806176498493487e-02,3.237206162201502081e-04,1.305850542557934237e-02
2.833333333333333259e-01,1.627063674133483410e+09,5.716342115451588952e-04,6.842806176498493487e-02,3.608669399894174094e-04,1.420498757066224887e-02
2.999999999999999889e-01,1.627063674149469376e+09,6.379776919269702223e-04,6.842806176498493487e-02,4.007352972191903853e-04,1.535213418836565112e-02
3.166666666666666519e-01,1.627063674166472435e+09,7.083916551550218689e-04,6.842806176498493487e-02,4.438556555930660524e-04,1.649999947870861919e-02
3.333333333333333148e-01,1.627063674184441328e+09,7.832106176143152718e-04,6.842806176498493487e-02,4.908473334952810716e-04,1.764864796368328936e-02
3.499999999999999778e-01,1.627063674200461864e+09,8.628440387412762268e-04,6.842806176498493487e-02,5.424155451030695380e-04,1.879815591885142245e-02
