# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.627062806994266033e+09,0.000000000000000000e+00,3.765627375497020146e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.627062806995263815e+09,2.130428897950264739e-06,1.368573157511188132e-02,0.000000000000000000e+00,2.280955262518646941e-04
3.333333333333333287e-02,1.627062806995263815e+09,8.528138547446520931e-06,3.765627375497020146e-02,2.311564509245769924e-06,8.557386149098554409e-04
5.000000000000000278e-02,1.627062807012217999e+09,1.918061565972090630e-05,3.765627375497020146e-02,8.929607629250116608e-06,1.483492004286512869e-03
6.666666666666666574e-02,1.627062807029618502e+09,3.404766986135147460e-05,3.765627375497020146e-02,1.938664364426850897e-05,2.111419677596753676e-03
8.333333333333332871e-02,1.627062807047025442e+09,5.306457027064012319e-05,3.765627375497020146e-02,3.323248673174234320e-05,2.739578114958452805e-03
1.000000000000000056e-01,1.627062807065021515e+09,7.614612782775140754e-05,3.765627375497020146e-02,5.004337723108583433e-05,3.368016733828474267e-03
1.166666666666666685e-01,1.627062807080773830e+09,1.031916607310907257e-04,3.765627375497020146e-02,6.943097944776826938e-05,3.996778479402106864e-03
1.333333333333333315e-01,1.627062807097745895e+09,1.340907605423879772e-04,3.765627375497020146e-02,9.105112299344314097e-05,4.625900560701501352e-03
1.499999999999999944e-01,1.627062807115009785e+09,1.687297578387661912e-04,3.765627375497020146e-02,1.146121613922294484e-04,5.255415325974208823e-03
1.666666666666666574e-01,1.627062807130959034e+09,2.069987690355363011e-04,3.765627375497020146e-02,1.398828250078447280e-04,5.885351268973842802e-03
1.833333333333333204e-01,1.627062807148569822e+09,2.487991904833782172e-04,3.765627375497020146e-02,1.666994502358407407e-04,6.515734155727277016e-03
2.000000000000000111e-01,1.627062807166110516e+09,2.940514924390413474e-04,3.765627375497020146e-02,1.949724733110246673e-04,7.146588259531964221e-03
2.166666666666666741e-01,1.627062807182090521e+09,3.427031542728839930e-04,3.765627375497020146e-02,2.246920849356601451e-04,7.777937690197061354e-03
2.333333333333333370e-01,1.627062807199728966e+09,3.947365735306267143e-04,3.765627375497020146e-02,2.559329511554289433e-04,8.409807801965821922e-03
2.500000000000000000e-01,1.627062807217216492e+09,4.501767753963760617e-04,3.765627375497020146e-02,2.888579163972171187e-04,9.042226663155279384e-03
2.666666666666666630e-01,1.627062807233839750e+09,5.090987458564648436e-04,3.355852952802924893e-02,3.237206162201502081e-04,9.606930832226101905e-03
2.833333333333333259e-01,1.627062807251035929e+09,5.716342115451588952e-04,3.355852952802924893e-02,3.608669399894174094e-04,1.017225410669308008e-02
2.999999999999999889e-01,1.627062807267771244e+09,6.379776919269702223e-04,3.355852952802924893e-02,4.007352972191903853e-04,1.073824185378055400e-02
3.166666666666666519e-01,1.627062807284424543e+09,7.083916551550218689e-04,3.355852952802924893e-02,4.438556555930660524e-04,1.130494827350759200e-02
3.333333333333333148e-01,1.627062807301171064e+09,7.832106176143152718e-04,3.355852952802924893e-02,4.908473334952810716e-04,1.187243788786633385e-02
3.499999999999999778e-01,1.627062807318198204e+09,8.628440387412762268e-04,3.355852952802924893e-02,5.424155451030695380e-04,1.244078697241853861e-02
3.666666666666666408e-01,1.627062807334973335e+09,9.477778770902709794e-04,3.355852952802924893e-02,5.993467115238379538e-04,1.301008490974442378e-02
3.833333333333333037e-01,1.627062807351567745e+09,1.038574690633870413e-03,3.355852952802924893e-02,6.625025669302883396e-04,1.358043544466041620e-02
4.000000000000000222e-01,1.627062807368483782e+09,1.135872183734691968e-03,3.355852952802924893e-02,7.328131039704071726e-04,1.415195782186041105e-02
4.166666666666666852e-01,1.627062807384635210e+09,1.240380124871115746e-03,3.355852952802924893e-02,8.112684177257091381e-04,1.472478778762299420e-02
4.333333333333333481e-01,1.627062807401157379e+09,1.352875582759167222e-03,3.355852952802924893e-02,8.989095219807449050e-04,1.529907843845649401e-02
4.500000000000000111e-01,1.627062807418740988e+09,1.474196453676992775e-03,3.355852952802924893e-02,9.968182253746087421e-04,1.587500090101322606e-02
4.666666666666666741e-01,1.627062807435093880e+09,1.605233279226337762e-03,3.355852952802924893e-02,1.106106167961873939e-03,1.645274482927974388e-02
4.833333333333333370e-01,1.627062807452389717e+09,1.746919381091921247e-03,3.355852952802924893e-02,1.227903130655348543e-03,1.703251870692448766e-02
5.000000000000000000e-01,1.627062807469999552e+09,1.900219367199473168e-03,3.355852952802924893e-02,1.363344740805535029e-03,1.761454994473840227e-02
5.166666666666666075e-01,1.627062807487182617e+09,2.066116091626106661e-03,3.355852952802924893e-02,1.513559706652565281e-03,1.819908476531643254e-02
5.333333333333333259e-01,1.627062807503134251e+09,2.245596178273289237e-03,3.355852952802924893e-02,1.679656721440301237e-03,1.878638786947425809e-02
5.500000000000000444e-01,1.627062807520641327e+09,2.439634245259130266e-03,3.355852952802924893e-02,1.862711184498509970e-03,1.937674188134972178e-02
5.666666666666666519e-01,1.627062807537597656e+09,2.649175992811532345e-03,3.355852952802924893e-02,2.063751891483204919e-03,1.997044657167492895e-02
5.833333333333333703e-01,1.627062807554769039e+09,2.875120341742633430e-03,3.355852952802924893e-02,2.283747849140700063e-03,2.056781786129442680e-02
5.999999999999999778e-01,1.627062807571228981e+09,3.118300831966967605e-03,3.355852952802924893e-02,2.523595371369204924e-03,2.116918660961773432e-02
6.166666666666666963e-01,1.627062807588282824e+09,3.379466510619310530e-03,3.355852952802924893e-02,2.784105612953753986e-03,2.177489719530078388e-02
6.333333333333333037e-01,1.627062807604422569e+09,3.659262556784995644e-03,3.355852952802924893e-02,3.065992695127233141e-03,2.238530589902005749e-02
