# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.627062858791368246e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
1.666666666666666644e-02,1.627062858792365313e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
3.333333333333333287e-02,1.627062858792365313e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
5.000000000000000278e-02,1.627062858809360027e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
6.666666666666666574e-02,1.627062858826308489e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
8.333333333333332871e-02,1.627062858843264103e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
1.000000000000000056e-01,1.627062858860221863e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
1.166666666666666685e-01,1.627062858877177000e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
1.333333333333333315e-01,1.627062858894129753e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
1.499999999999999944e-01,1.627062858911080122e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
1.666666666666666574e-01,1.627062858928036928e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
1.833333333333333204e-01,1.627062858944990158e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
2.000000000000000111e-01,1.627062858961945772e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
2.166666666666666741e-01,1.627062858978901386e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
2.333333333333333370e-01,1.627062858995854616e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
2.500000000000000000e-01,1.627062859012809515e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
2.666666666666666630e-01,1.627062859029767513e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
2.833333333333333259e-01,1.627062859046723604e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
2.999999999999999889e-01,1.627062859063674688e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
3.166666666666666519e-01,1.627062859080628157e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
3.333333333333333148e-01,1.627062859097581863e+09,0.000000000000000000e+00,5.553995304820056322e-01,0.000000000000000000e+00,5.553995304820056322e-01
