# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.627062862789616108e+09,0.000000000000000000e+00,2.294625746711123626e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.627062862790614367e+09,2.274202201737936387e-06,8.339548474491365049e-03,0.000000000000000000e+00,1.389924745748560841e-04
3.333333333333333287e-02,1.627062862791638374e+09,8.986056890389077312e-06,2.294625746711123626e-02,1.958619917619665073e-06,5.214627426920036973e-04
5.000000000000000278e-02,1.627062862807603598e+09,2.000603544314163439e-05,2.294625746711123626e-02,7.749762686452787671e-06,9.040295298552985127e-04
6.666666666666666574e-02,1.627062862824556589e+09,3.525827532788600578e-05,2.294625746711123626e-02,1.721437150396176393e-05,1.286754060498885178e-03
8.333333333333332871e-02,1.627062862841511726e+09,5.472606463527760991e-05,2.294625746711123626e-02,3.015218991187075014e-05,1.669694221449270159e-03
1.000000000000000056e-01,1.627062862858467817e+09,7.845652597998119065e-05,2.294625746711123626e-02,4.632456249389736583e-05,2.052903921942688878e-03
1.166666666666666685e-01,1.627062862875421286e+09,1.065644130720995203e-04,2.294625746711123626e-02,6.545842480154917087e-05,2.436432520141235299e-03
1.333333333333333315e-01,1.627062862892376184e+09,1.392349438053946660e-04,2.294625746711123626e-02,8.725145270402088538e-05,2.820324335471489485e-03
1.499999999999999944e-01,1.627062862909328461e+09,1.767256053232233218e-04,2.294625746711123626e-02,1.113783186479739093e-04,3.204618265234143032e-03
1.666666666666666574e-01,1.627062862926284075e+09,2.193668790728962631e-04,2.294625746711123626e-02,1.374979800415245120e-04,3.589347522686689180e-03
1.833333333333333204e-01,1.627062862944203377e+09,2.675618471995492111e-04,2.294625746711123626e-02,1.652619035054408352e-04,3.974539512196967155e-03
2.000000000000000111e-01,1.627062862960194111e+09,3.217846556066487028e-04,2.294625746711123626e-02,1.943231084161992116e-04,4.360215855122424010e-03
2.166666666666666741e-01,1.627062862977156878e+09,3.825778234586809019e-04,2.294625746711123626e-02,2.243458943393501163e-04,4.746392577813267170e-03
2.333333333333333370e-01,1.627062862994101048e+09,4.505484036526183258e-04,2.294625746711123626e-02,2.550160999380879151e-04,5.133080470597422944e-03
2.500000000000000000e-01,1.627062863011058092e+09,5.263630136640212644e-04,2.294625746711123626e-02,2.860517260380141089e-04,5.520285623816577163e-03
2.666666666666666630e-01,1.627062863028013229e+09,6.107417710040505742e-04,2.657952131145077668e-02,3.172137430038744635e-04,5.968564541390821050e-03
2.833333333333333259e-01,1.627062863044969320e+09,7.044511821274874975e-04,2.657952131145077668e-02,3.483168926744984926e-04,6.417361844792909137e-03
2.999999999999999889e-01,1.627062863061925888e+09,8.082960478326731667e-04,2.657952131145077668e-02,3.792402880094032538e-04,6.866674538117245770e-03
3.166666666666666519e-01,1.627062863078877687e+09,9.231104618189946024e-04,2.657952131145077668e-02,4.099376094866608771e-04,7.316498853466203364e-03
3.333333333333333148e-01,1.627062863095830917e+09,1.049747991948362389e-03,2.657952131145077668e-02,4.404466962770141715e-04,7.766831653595000252e-03
3.499999999999999778e-01,1.627062863112786531e+09,1.189071145733446673e-03,2.657952131145077668e-02,4.708983323802518788e-04,8.217671980992184363e-03
3.666666666666666408e-01,1.627062863129739285e+09,1.341940232495875867e-03,2.657952131145077668e-02,5.015240332774850880e-04,8.669022736737655443e-03
3.833333333333333037e-01,1.627062863146694660e+09,1.509201744361324694e-03,2.657952131145077668e-02,5.326626472116466251e-04,9.120892469382028273e-03
4.000000000000000222e-01,1.627062863163650513e+09,1.691676386657470828e-03,2.657952131145077668e-02,5.647655968959787746e-04,9.573297251187808110e-03
4.166666666666666852e-01,1.627062863180605412e+09,1.890146895240891285e-03,2.657952131145077668e-02,5.984006021577765663e-04,1.002626261641461659e-02
4.333333333333333481e-01,1.627062863197559118e+09,2.105345783701496713e-03,2.657952131145077668e-02,6.342537415979398368e-04,1.047982553396542907e-02
4.500000000000000111e-01,1.627062863214515924e+09,2.337943167195901100e-03,2.657952131145077668e-02,6.731297315879057738e-04,1.093403638468273993e-02
